Type,Entity 1,Relationship,Type,Entity2
PERSON,Eisenberg, has stated in ,O, turn
PERSON,Eisenberg, Comment in ,O, Isman
PERSON,Giacomo Medici, illegal export of ,O, goods
ORG,http://www.theartnewspaper.com/articles/Looted%20from%20Italy%20and%20now%20in%20a%20major%20Spanish%20museum?/21261, accessed ,O, 17 July 2012
PERSON,Giacomo Medici, conspiracy to ,O, traffic
PERSON,Eisenberg, Comment in ,DATE, 2010
PERSON,Giacomo Medici, export of ,O, goods
PERSON,Medici, is ,NORP, Italian
NORP,Becchina, is ,NORP, Italian
