Type,Entity 1,Relationship,Type,Entity2
GPE,Cancuén, is ,O, in looted objects major Classic site
GPE,Cancuén, is ,O, in looted objects Classic site
GPE,Cancuén, is ,O, in objects major Classic site
GPE,Cancuén, is ,LOC, major Classic Maya site
GPE,Cancuén, is ,O, major Classic site
GPE,Cancuén, is ,LOC, in looted objects Classic Maya site
GPE,Cancuén, is ,LOC, Maya
GPE,Cancuén, is ,LOC, Classic Maya site
GPE,Cancuén, is ,LOC, in objects major Classic Maya site
DATE,1981, before Cancuén is ,GPE, Guatemala
GPE,Cancuén, is ,O, Classic site
GPE,Cancuén, is ,LOC, in objects Classic Maya site
GPE,Cancuén, is ,LOC, in looted objects major Classic Maya site
GPE,Cancuén, is ,O, in objects Classic site
