Type,Entity 1,Relationship,Type,Entity2
LOC,AD Huaca Malena, was ,ORG, from about 700 major Wari provincial cemetery
GPE,Angeles, have embarked on ,O, number of initiatives
LOC,AD Huaca Malena, was ,ORG, Wari provincial cemetery
GPE,Angeles, have embarked on ,O, number
LOC,AD Huaca Malena, was ,ORG, from about 700 Wari provincial cemetery
LOC,Huaca Malena, was ,O, intact
GPE,Angeles, embarked ,O, his colleagues
LOC,Huaca Malena, of ,O, ICOM-CC
LOC,AD Huaca Malena, was ,ORG, from about 700 major Wari cemetery
GPE,Peru, in ,O, Asia Valley
LOC,AD Huaca Malena, was ,ORG, major Wari cemetery
LOC,AD Huaca Malena, was ,ORG, major Wari provincial cemetery
LOC,Huaca Malena, was ,O, largely intact
LOC,AD Huaca Malena, was ,ORG, Wari cemetery
LOC,AD Huaca Malena, was ,ORG, from about 700 Wari cemetery
