Type,Entity 1,Relationship,Type,Entity2
ORG,ASI, clear ,O, scattered debris beneath parts
ORG,ASI, lodged ,O, report of crime
ORG,ASI, clear ,PERSON, scattered debris beneath visible parts of Gadgach
ORG,ASI, clear ,PERSON, debris beneath parts of Gadgach
ORG,ASI, clear ,O, debris
ORG,ASI, lodged ,O, report
ORG,ASI, clear ,O, scattered debris beneath visible parts
GPE,France, to ambassador is ,DATE, Mankodi 2016
ORG,ASI, clear ,PERSON, debris beneath visible parts of Gadgach
ORG,ASI, clear ,O, debris beneath visible parts
ORG,ASI, clear ,PERSON, scattered debris beneath parts of Gadgach
PERSON,Mr Rajan Mathai, ambassador to ,GPE, France
GPE,Atru, has ,O, Amorous Couples
ORG,ASI, clear ,O, debris beneath parts
GPE,India, has ,GPE, ambassador to France
ORG,Interpol, issued ,O, alert for missing maithunas
ORG,ASI, report of ,O, crime
ORG,ASI, clear ,O, scattered debris
ORG,ASI, report of ,O, crime with police
ORG,ASI, decided In ,DATE, 2007
GPE,India, 's ambassador is ,DATE, Mankodi 2016
ORG,ASI, lodged ,O, report of crime with police
